text,label,error_type
There are a lot of opportunities to study a language ! !,1,None
"For one thing , I think there was nothing to write .",0,Past Simple Tense
Because the bird outside of my tent kept calling me mee - mee - .,0,Subject-Verb Agreement
"Second , I visited Jaisalmer .",1,None
"After my friend started dating with the guy , their friendship was messed up .",0,Subject-Verb Agreement
"Through all seasons , I enjoy doing Yoga and cooking .",0,Present Continuous Tense
"I will love you all the time , forever .",0,Future Continuous Tense
Happy new year,1,None
"By the way , this series started in .",0,Subject-Verb Agreement
in spite of English class,1,None
Please pray for me .,1,None
"Because I heard the season th was the last , but I was not able to understand about this story .",0,Past Simple Tense
laugh of my friends was heard in my ears .,0,Subject-Verb Agreement
"If I borrow a DK room , it would cost a rent for yen yen .",0,Future Simple Tense
"This message board was not software in the Internet but hardware in the real world , which was made of wood painted with green or black .",0,Subject-Verb Agreement
Reading a book in English is good practice because it includes a tons of slangs .,0,Present Continuous Tense
"After something happy suddenly happens , people are suprised then become smile .",0,Subject-Verb Agreement
My vegetable basket was filled with potatoes .,0,Subject-Verb Agreement
"The biggest problem is that I ca not speak Chinese at all , only very simple greeting words .",0,Subject-Verb Agreement
See you again !,1,None
I look like the marshmallowman .,1,None
I am the ninth letter of the alphabet .,1,None
"I have never brought an umbrella with me in London . A coat and a hat were more than enough since most of the time the rain was just lovely little spray drops . In contrast , in Italy you have to cover yourself because the rain here is really wet !",0,Present Perfect Tense
Sincerely hope I can do a great job at this new work and everything will be smooth and successful .,0,Future Simple Tense
"By the way , a panic movie , was released today .",0,Past Simple Tense
"In , when I traveled in the U .",1,None
My place has a lot of nature .,0,Subject-Verb Agreement
"In high school , I can enjoy being myself with my friends , and I can express my true me .",0,Future Simple Tense
"It was like reading about a stranger , because I changed pretty much .",0,Past Simple Tense
"It is Basic Life Support , which is called BLS .",0,Present Perfect Tense
I had it for a long time ago .,0,Past Simple Tense
"For some reason , I feel lonely like death .",1,None
"She is stupid , selfish and individual .",1,None
I have to go out with my friends .,1,None
I will have to come here often .,0,Future Continuous Tense
Children is eating habits and lifestyle .,0,Subject-Verb Agreement
"My school is exam is very difficult , so I could not solve it .",0,Subject-Verb Agreement
So it was cancelled .,0,Past Simple Tense
Hi I am So Hyun .,1,None
Why is it so popular among Japanese ?,1,None
Summer Sonic,1,None
Hello everyone here !,1,None
"I start quickly becoming your part of past but in that instant , I get to share your present , and YOU get to share mine and THAT is the greatest present of all .",0,Present Continuous Tense
I went to trip in HongKong ! !,0,Past Simple Tense
I went to the festival .,0,Past Simple Tense
But we will have series of holidays five days ! !,0,Future Continuous Tense
The rainy season,1,None
"Not only train their body , but also they build strong mind , too .",1,None
"They will great deal appearance in summer , because the warm temperature is able to help them hatched .",0,Future Continuous Tense
"So I can say , ",0,Future Simple Tense
show Buffy and as Piccoro from Dragonball Evolution last April .,1,None
And your email is almost perfect .,0,Subject-Verb Agreement
T means quiet .,0,Subject-Verb Agreement
This is what I am trying to say,0,Present Continuous Tense
So I was surprised and impressed by the unexpected active situations .,0,Past Simple Tense
"Probably , Ramen originated in Japan .",0,Subject-Verb Agreement
"There were many soft first flowers in the grass blow balls , daisies , rhododendrons .",0,Past Simple Tense
"I have a good time on the bus because I talk with a lot of people that I never talk with , so I can find out things about them .",0,Future Simple Tense
thanks,1,None
Tell me one interesting odd fact about you ?,0,Present Continuous Tense
"A TV performer said on a TV program before that when he wore a T - shirt which was a heavy metal band is in his trip to Australia , he was surronded by the men who looked very strong .",0,Subject-Verb Agreement
That is one of the pictures I posted .,1,None
Let me introduce myself part,1,None
I always try to understand English without translating .,0,Present Continuous Tense
Finally I got a driver is license here in California .,0,Past Simple Tense
"Last , LOVE zukkyun by soutaiseiriron .",1,None
My father bought a new TV .,0,Subject-Verb Agreement
Guess what !,1,None
And exciting,1,None
The reason is that I noticed I would be happy when I saw a flower .,0,Subject-Verb Agreement
Main purpose of this travel is to see a soap factory in Corfu island .,0,Subject-Verb Agreement
I will consider the time to talk with someone as precious time .,0,Future Continuous Tense
The antagonists often accuse that the legalization of euthanasia will force the dying patients to die because they can not accept that they impose suffering on their family and society .,0,Future Continuous Tense
It is a tendency that Japan is economy has been shrinking .,0,Subject-Verb Agreement
"Learning math at the elementary school is too easy for him , and I want to expose him a lot of Japanese words , considering his poor Japanese vocabulary .",0,Present Continuous Tense
I am cheering on Sweden .,0,Present Continuous Tense
"Either way , I am sure of getting energy and being encouraged a few days later because I am going to have a great time in an English club .",0,Present Continuous Tense
"I like drawing , reading and cooking vegan recipes .",0,Present Continuous Tense
I hope someday I will visit a lot of countries where I have never been .,0,Future Continuous Tense
Long time no see .,1,None
How do you say this in English ?,1,None
This word is used at the topics both of speakers and lisners already know .,0,Subject-Verb Agreement
I think elevator is breaking and to be in a hurry .,0,Subject-Verb Agreement
"Driving a Japanese car , I feel it is trustworthy .",0,Present Continuous Tense
They were all serious and urgent problems .,0,Past Simple Tense
"Love , attention .",1,None
"I am Japanese university sutudent , so I will start new year .",0,Future Continuous Tense
birthday present,1,None
We started work in the same year .,1,None
Would someone please check my diary entry ?,0,Future Simple Tense
I really love it .,1,None
That is what I learned from Liz .,1,None
I tend to do my best even if my English is poor .,0,Subject-Verb Agreement
That is right !,1,None
The S - A Center is a place where people who are studying a language can practise any skill they want .,0,Subject-Verb Agreement
I accidentally tuned in to a movie and started to watch it .,1,None
president can nominate the Supreme Court justice .,0,Future Simple Tense
This movie is very fun and sometimes feels humanistic .,0,Subject-Verb Agreement
Could you tell me any specific example ?,1,None
"S , Douglass made up this connection and claimed it during debates with Lincoln as one of strategies in the election .",0,Subject-Verb Agreement
